elated_elion: CPU: 99.69%, Memory: 6.081GiB / 503.5GiB
elated_elion: CPU: 100.12%, Memory: 6.995GiB / 503.5GiB
elated_elion: CPU: 2871.64%, Memory: 9.069GiB / 503.5GiB
elated_elion: CPU: 3195.49%, Memory: 9.068GiB / 503.5GiB
elated_elion: CPU: 3097.97%, Memory: 9.068GiB / 503.5GiB
elated_elion: CPU: 3086.34%, Memory: 9.068GiB / 503.5GiB
elated_elion: CPU: 3089.58%, Memory: 9.068GiB / 503.5GiB
elated_elion: CPU: 3085.75%, Memory: 9.068GiB / 503.5GiB
elated_elion: CPU: 3180.27%, Memory: 9.068GiB / 503.5GiB
elated_elion: CPU: 277.05%, Memory: 9.068GiB / 503.5GiB
kind_kirch: CPU: 100.16%, Memory: 1.937GiB / 503.5GiB
kind_kirch: CPU: 99.69%, Memory: 2.99GiB / 503.5GiB
kind_kirch: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
kind_kirch: CPU: 99.66%, Memory: 2.99GiB / 503.5GiB
kind_kirch: CPU: 99.90%, Memory: 2.99GiB / 503.5GiB
kind_kirch: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
kind_kirch: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
kind_kirch: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
kind_kirch: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
kind_kirch: CPU: 99.62%, Memory: 2.99GiB / 503.5GiB
kind_kirch: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
kind_kirch: CPU: 99.96%, Memory: 2.99GiB / 503.5GiB
kind_kirch: CPU: 99.99%, Memory: 2.99GiB / 503.5GiB
kind_kirch: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
kind_kirch: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
kind_kirch: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
kind_kirch: CPU: 99.75%, Memory: 2.99GiB / 503.5GiB
kind_kirch: CPU: 99.75%, Memory: 2.99GiB / 503.5GiB
kind_kirch: CPU: 99.75%, Memory: 2.99GiB / 503.5GiB
kind_kirch: CPU: 99.65%, Memory: 2.99GiB / 503.5GiB
kind_kirch: CPU: 100.02%, Memory: 3.179GiB / 503.5GiB
kind_kirch: CPU: 99.75%, Memory: 6.813GiB / 503.5GiB
kind_kirch: CPU: 3154.58%, Memory: 7.626GiB / 503.5GiB
kind_kirch: CPU: 3089.68%, Memory: 7.626GiB / 503.5GiB
kind_kirch: CPU: 100.07%, Memory: 6.453GiB / 503.5GiB
kind_kirch: CPU: 2065.33%, Memory: 7.639GiB / 503.5GiB
kind_kirch: CPU: 3137.66%, Memory: 7.638GiB / 503.5GiB
kind_kirch: CPU: 3174.14%, Memory: 7.647GiB / 503.5GiB
kind_kirch: CPU: 1711.56%, Memory: 7.654GiB / 503.5GiB
kind_kirch: CPU: 100.11%, Memory: 6.081GiB / 503.5GiB
kind_kirch: CPU: 99.75%, Memory: 6.081GiB / 503.5GiB
kind_kirch: CPU: 99.75%, Memory: 8.464GiB / 503.5GiB
kind_kirch: CPU: 3188.79%, Memory: 9.068GiB / 503.5GiB
kind_kirch: CPU: 3194.17%, Memory: 9.068GiB / 503.5GiB
kind_kirch: CPU: 3193.86%, Memory: 9.068GiB / 503.5GiB
kind_kirch: CPU: 3194.36%, Memory: 9.068GiB / 503.5GiB
kind_kirch: CPU: 3195.48%, Memory: 9.068GiB / 503.5GiB
kind_kirch: CPU: 3096.70%, Memory: 9.068GiB / 503.5GiB
kind_kirch: CPU: 100.06%, Memory: 9.068GiB / 503.5GiB
recursing_hertz: CPU: 167.02%, Memory: 1.187GiB / 503.5GiB
recursing_hertz: CPU: 100.34%, Memory: 2.99GiB / 503.5GiB
recursing_hertz: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
recursing_hertz: CPU: 99.99%, Memory: 2.99GiB / 503.5GiB
recursing_hertz: CPU: 99.59%, Memory: 2.99GiB / 503.5GiB
recursing_hertz: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
recursing_hertz: CPU: 100.08%, Memory: 2.99GiB / 503.5GiB
recursing_hertz: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
recursing_hertz: CPU: 100.08%, Memory: 2.99GiB / 503.5GiB
recursing_hertz: CPU: 100.14%, Memory: 2.99GiB / 503.5GiB
recursing_hertz: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
recursing_hertz: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
recursing_hertz: CPU: 100.08%, Memory: 2.99GiB / 503.5GiB
recursing_hertz: CPU: 99.40%, Memory: 2.99GiB / 503.5GiB
recursing_hertz: CPU: 99.34%, Memory: 2.99GiB / 503.5GiB
