competent_meninsky: CPU: 3193.02%, Memory: 8.996GiB / 503.5GiB
competent_meninsky: CPU: 3080.09%, Memory: 8.996GiB / 503.5GiB
competent_meninsky: CPU: 3155.83%, Memory: 8.997GiB / 503.5GiB
competent_meninsky: CPU: 3092.79%, Memory: 8.998GiB / 503.5GiB
competent_meninsky: CPU: 3087.97%, Memory: 8.998GiB / 503.5GiB
competent_meninsky: CPU: 3181.30%, Memory: 8.999GiB / 503.5GiB
competent_meninsky: CPU: 3189.90%, Memory: 9GiB / 503.5GiB
competent_meninsky: CPU: 3175.76%, Memory: 9.001GiB / 503.5GiB
competent_meninsky: CPU: 3201.76%, Memory: 9.002GiB / 503.5GiB
competent_meninsky: CPU: 3143.54%, Memory: 9.003GiB / 503.5GiB
competent_meninsky: CPU: 3192.95%, Memory: 9.004GiB / 503.5GiB
competent_meninsky: CPU: 3206.26%, Memory: 9.006GiB / 503.5GiB
competent_meninsky: CPU: 3197.20%, Memory: 9.008GiB / 503.5GiB
competent_meninsky: CPU: 3199.47%, Memory: 9.012GiB / 503.5GiB
competent_meninsky: CPU: 100.18%, Memory: 9.016GiB / 503.5GiB
competent_meninsky: CPU: 100.02%, Memory: 9.016GiB / 503.5GiB
competent_meninsky: CPU: 100.11%, Memory: 6.75GiB / 503.5GiB
competent_meninsky: CPU: 100.18%, Memory: 9.278GiB / 503.5GiB
competent_meninsky: CPU: 100.06%, Memory: 10.92GiB / 503.5GiB
competent_meninsky: CPU: 100.06%, Memory: 12.26GiB / 503.5GiB
competent_meninsky: CPU: 305.67%, Memory: 13.59GiB / 503.5GiB
competent_meninsky: CPU: 3197.05%, Memory: 13.59GiB / 503.5GiB
competent_meninsky: CPU: 3196.33%, Memory: 13.59GiB / 503.5GiB
competent_meninsky: CPU: 3189.06%, Memory: 13.59GiB / 503.5GiB
competent_meninsky: CPU: 100.06%, Memory: 13.59GiB / 503.5GiB
competent_meninsky: CPU: 100.12%, Memory: 13.59GiB / 503.5GiB
competent_meninsky: CPU: 100.15%, Memory: 9.801GiB / 503.5GiB
competent_meninsky: CPU: 100.09%, Memory: 11.13GiB / 503.5GiB
competent_meninsky: CPU: 99.75%, Memory: 12.47GiB / 503.5GiB
competent_meninsky: CPU: 100.18%, Memory: 13.79GiB / 503.5GiB
competent_meninsky: CPU: 593.36%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3108.31%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3089.89%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3080.89%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3192.62%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3207.14%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3194.95%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3207.77%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3191.48%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3208.54%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3183.62%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3179.98%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3185.58%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3196.98%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3209.84%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3146.46%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3096.73%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3138.25%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3088.99%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3160.23%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3209.73%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3202.70%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3202.19%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3172.45%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3165.64%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3191.64%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3197.41%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3196.82%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3181.43%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3195.93%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3190.23%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3094.10%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 3140.46%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 99.96%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 100.12%, Memory: 15.01GiB / 503.5GiB
competent_meninsky: CPU: 99.75%, Memory: 9.813GiB / 503.5GiB
competent_meninsky: CPU: 2465.26%, Memory: 12.03GiB / 503.5GiB
competent_meninsky: CPU: 3211.42%, Memory: 12.02GiB / 503.5GiB
competent_meninsky: CPU: 3197.23%, Memory: 12.02GiB / 503.5GiB
competent_meninsky: CPU: 3197.47%, Memory: 12.02GiB / 503.5GiB
competent_meninsky: CPU: 3196.96%, Memory: 12.02GiB / 503.5GiB
competent_meninsky: CPU: 3196.88%, Memory: 12.02GiB / 503.5GiB
competent_meninsky: CPU: 2433.28%, Memory: 12.02GiB / 503.5GiB
competent_meninsky: CPU: 100.18%, Memory: 12.02GiB / 503.5GiB
infallible_bartik: CPU: 144.21%, Memory: 1.246GiB / 503.5GiB
infallible_bartik: CPU: 100.27%, Memory: 2.99GiB / 503.5GiB
infallible_bartik: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
infallible_bartik: CPU: 100.06%, Memory: 2.99GiB / 503.5GiB
infallible_bartik: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
infallible_bartik: CPU: 99.93%, Memory: 2.99GiB / 503.5GiB
infallible_bartik: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
infallible_bartik: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
infallible_bartik: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
infallible_bartik: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
