youthful_proskuriakova: CPU: 3193.21%, Memory: 9.046GiB / 503.5GiB
youthful_proskuriakova: CPU: 3193.58%, Memory: 9.046GiB / 503.5GiB
youthful_proskuriakova: CPU: 3189.17%, Memory: 9.047GiB / 503.5GiB
youthful_proskuriakova: CPU: 3208.27%, Memory: 9.047GiB / 503.5GiB
youthful_proskuriakova: CPU: 3101.08%, Memory: 9.047GiB / 503.5GiB
youthful_proskuriakova: CPU: 3097.75%, Memory: 9.048GiB / 503.5GiB
youthful_proskuriakova: CPU: 3097.07%, Memory: 9.048GiB / 503.5GiB
youthful_proskuriakova: CPU: 3088.34%, Memory: 9.048GiB / 503.5GiB
youthful_proskuriakova: CPU: 3160.40%, Memory: 9.049GiB / 503.5GiB
youthful_proskuriakova: CPU: 2040.81%, Memory: 9.049GiB / 503.5GiB
youthful_proskuriakova: CPU: 100.18%, Memory: 9.049GiB / 503.5GiB
youthful_proskuriakova: CPU: 100.08%, Memory: 9.049GiB / 503.5GiB
youthful_proskuriakova: CPU: 100.11%, Memory: 8.69GiB / 503.5GiB
youthful_proskuriakova: CPU: 3198.13%, Memory: 9.04GiB / 503.5GiB
youthful_proskuriakova: CPU: 3195.41%, Memory: 9.039GiB / 503.5GiB
youthful_proskuriakova: CPU: 3195.83%, Memory: 9.039GiB / 503.5GiB
youthful_proskuriakova: CPU: 3194.12%, Memory: 9.039GiB / 503.5GiB
youthful_proskuriakova: CPU: 3189.29%, Memory: 9.039GiB / 503.5GiB
youthful_proskuriakova: CPU: 3195.11%, Memory: 9.039GiB / 503.5GiB
youthful_proskuriakova: CPU: 100.12%, Memory: 9.039GiB / 503.5GiB
eloquent_jennings: CPU: 100.12%, Memory: 1.427GiB / 503.5GiB
eloquent_jennings: CPU: 100.27%, Memory: 2.99GiB / 503.5GiB
eloquent_jennings: CPU: 99.96%, Memory: 2.99GiB / 503.5GiB
eloquent_jennings: CPU: 99.53%, Memory: 2.99GiB / 503.5GiB
eloquent_jennings: CPU: 100.11%, Memory: 2.99GiB / 503.5GiB
eloquent_jennings: CPU: 99.99%, Memory: 2.99GiB / 503.5GiB
eloquent_jennings: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
eloquent_jennings: CPU: 100.08%, Memory: 2.99GiB / 503.5GiB
eloquent_jennings: CPU: 100.08%, Memory: 2.99GiB / 503.5GiB
eloquent_jennings: CPU: 100.08%, Memory: 2.99GiB / 503.5GiB
