cranky_mccarthy: CPU: 101.60%, Memory: 2.988GiB / 251.5GiB
cranky_mccarthy: CPU: 101.26%, Memory: 2.988GiB / 251.5GiB
cranky_mccarthy: CPU: 100.62%, Memory: 2.988GiB / 251.5GiB
cranky_mccarthy: CPU: 99.62%, Memory: 2.988GiB / 251.5GiB
cranky_mccarthy: CPU: 100.06%, Memory: 2.988GiB / 251.5GiB
cranky_mccarthy: CPU: 99.81%, Memory: 2.988GiB / 251.5GiB
cranky_mccarthy: CPU: 99.44%, Memory: 2.988GiB / 251.5GiB
cranky_mccarthy: CPU: 99.19%, Memory: 2.988GiB / 251.5GiB
cranky_mccarthy: CPU: 99.03%, Memory: 2.988GiB / 251.5GiB
cranky_mccarthy: CPU: 98.88%, Memory: 2.988GiB / 251.5GiB
cranky_mccarthy: CPU: 100.31%, Memory: 2.988GiB / 251.5GiB
cranky_mccarthy: CPU: 100.46%, Memory: 2.988GiB / 251.5GiB
cranky_mccarthy: CPU: 101.07%, Memory: 2.988GiB / 251.5GiB
cranky_mccarthy: CPU: 100.71%, Memory: 2.988GiB / 251.5GiB
cranky_mccarthy: CPU: 99.56%, Memory: 2.988GiB / 251.5GiB
cranky_mccarthy: CPU: 100.59%, Memory: 2.988GiB / 251.5GiB
cranky_mccarthy: CPU: 99.81%, Memory: 2.988GiB / 251.5GiB
cranky_mccarthy: CPU: 101.47%, Memory: 4.785GiB / 251.5GiB
cranky_mccarthy: CPU: 99.15%, Memory: 5.975GiB / 251.5GiB
cranky_mccarthy: CPU: 99.11%, Memory: 5.974GiB / 251.5GiB
cranky_mccarthy: CPU: 101.86%, Memory: 5.974GiB / 251.5GiB
cranky_mccarthy: CPU: 100.12%, Memory: 5.974GiB / 251.5GiB
cranky_mccarthy: CPU: 100.43%, Memory: 5.974GiB / 251.5GiB
cranky_mccarthy: CPU: 101.93%, Memory: 5.974GiB / 251.5GiB
cranky_mccarthy: CPU: 101.79%, Memory: 5.974GiB / 251.5GiB
cranky_mccarthy: CPU: 99.87%, Memory: 5.974GiB / 251.5GiB
cranky_mccarthy: CPU: 99.93%, Memory: 5.974GiB / 251.5GiB
cranky_mccarthy: CPU: 99.31%, Memory: 5.974GiB / 251.5GiB
cranky_mccarthy: CPU: 101.20%, Memory: 5.974GiB / 251.5GiB
cranky_mccarthy: CPU: 101.47%, Memory: 5.974GiB / 251.5GiB
cranky_mccarthy: CPU: 101.13%, Memory: 5.974GiB / 251.5GiB
cranky_mccarthy: CPU: 100.37%, Memory: 5.974GiB / 251.5GiB
cranky_mccarthy: CPU: 100.94%, Memory: 5.974GiB / 251.5GiB
cranky_mccarthy: CPU: 101.54%, Memory: 5.974GiB / 251.5GiB
cranky_mccarthy: CPU: 98.88%, Memory: 5.974GiB / 251.5GiB
cranky_mccarthy: CPU: 99.65%, Memory: 5.974GiB / 251.5GiB
cranky_mccarthy: CPU: 100.21%, Memory: 5.974GiB / 251.5GiB
cranky_mccarthy: CPU: 100.33%, Memory: 5.974GiB / 251.5GiB
cranky_mccarthy: CPU: 100.46%, Memory: 5.974GiB / 251.5GiB
cranky_mccarthy: CPU: 100.82%, Memory: 6.439GiB / 251.5GiB
cranky_mccarthy: CPU: 1552.94%, Memory: 9.027GiB / 251.5GiB
cranky_mccarthy: CPU: 1548.50%, Memory: 9.027GiB / 251.5GiB
cranky_mccarthy: CPU: 1552.82%, Memory: 9.027GiB / 251.5GiB
cranky_mccarthy: CPU: 1559.15%, Memory: 9.027GiB / 251.5GiB
cranky_mccarthy: CPU: 1522.70%, Memory: 9.027GiB / 251.5GiB
cranky_mccarthy: CPU: 1508.69%, Memory: 9.027GiB / 251.5GiB
cranky_mccarthy: CPU: 1510.37%, Memory: 9.027GiB / 251.5GiB
cranky_mccarthy: CPU: 1579.38%, Memory: 9.027GiB / 251.5GiB
cranky_mccarthy: CPU: 1579.09%, Memory: 9.027GiB / 251.5GiB
cranky_mccarthy: CPU: 1582.22%, Memory: 9.027GiB / 251.5GiB
cranky_mccarthy: CPU: 1587.12%, Memory: 9.027GiB / 251.5GiB
cranky_mccarthy: CPU: 1583.25%, Memory: 9.027GiB / 251.5GiB
cranky_mccarthy: CPU: 1543.42%, Memory: 9.027GiB / 251.5GiB
epic_lumiere: CPU: 170.59%, Memory: 1.69GiB / 251.5GiB
epic_lumiere: CPU: 99.75%, Memory: 2.988GiB / 251.5GiB
epic_lumiere: CPU: 101.91%, Memory: 2.988GiB / 251.5GiB
epic_lumiere: CPU: 100.56%, Memory: 2.988GiB / 251.5GiB
epic_lumiere: CPU: 100.71%, Memory: 2.988GiB / 251.5GiB
epic_lumiere: CPU: 100.50%, Memory: 2.988GiB / 251.5GiB
