nifty_newton: CPU: 1578.09%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1585.71%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1534.32%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1544.73%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1360.68%, Memory: 9.523GiB / 251.5GiB
nifty_newton: CPU: 100.26%, Memory: 15.38GiB / 251.5GiB
fervent_kirch: CPU: 167.72%, Memory: 1.182GiB / 251.5GiB
fervent_kirch: CPU: 101.91%, Memory: 4.154GiB / 251.5GiB
fervent_kirch: CPU: 98.88%, Memory: 4.246GiB / 251.5GiB
fervent_kirch: CPU: 100.27%, Memory: 4.394GiB / 251.5GiB
fervent_kirch: CPU: 383.40%, Memory: 9.038GiB / 251.5GiB
fervent_kirch: CPU: 1495.66%, Memory: 9.038GiB / 251.5GiB
fervent_kirch: CPU: 1566.42%, Memory: 9.038GiB / 251.5GiB
fervent_kirch: CPU: 1509.15%, Memory: 9.038GiB / 251.5GiB
fervent_kirch: CPU: 1526.33%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 1582.92%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 1588.31%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 1554.28%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 1548.58%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 1539.01%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 1573.35%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 1563.25%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 1493.21%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 1550.59%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 1547.15%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 1550.56%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 1550.04%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 381.22%, Memory: 11.24GiB / 251.5GiB
fervent_kirch: CPU: 99.71%, Memory: 6.735GiB / 251.5GiB
fervent_kirch: CPU: 1495.77%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 1552.33%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 1530.62%, Memory: 9.039GiB / 251.5GiB
