strange_lumiere: CPU: 1551.11%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1524.51%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 162.56%, Memory: 384.7MiB / 251.5GiB
dreamy_ptolemy: CPU: 99.78%, Memory: 384.6MiB / 251.5GiB
dreamy_ptolemy: CPU: 1522.80%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1512.33%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1553.62%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1540.01%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1576.14%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1555.14%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1538.36%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1540.09%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1540.72%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1550.01%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1583.30%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1551.73%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1543.07%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1517.94%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1540.35%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1562.41%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1555.72%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1544.56%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1555.42%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1544.04%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1528.22%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1541.27%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1514.83%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1530.57%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1540.74%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1532.70%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1551.94%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1548.69%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1530.60%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1526.85%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1526.00%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1534.26%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1536.18%, Memory: 386MiB / 251.5GiB
dreamy_ptolemy: CPU: 1548.11%, Memory: 386MiB / 251.5GiB
