festive_dirac: CPU: 1539.39%, Memory: 3.027GiB / 251.5GiB
festive_dirac: CPU: 1526.79%, Memory: 3.028GiB / 251.5GiB
festive_dirac: CPU: 1552.13%, Memory: 3.028GiB / 251.5GiB
festive_dirac: CPU: 1492.54%, Memory: 3.026GiB / 251.5GiB
festive_dirac: CPU: 1584.70%, Memory: 3.028GiB / 251.5GiB
festive_dirac: CPU: 1489.60%, Memory: 3.026GiB / 251.5GiB
festive_dirac: CPU: 1507.47%, Memory: 3.026GiB / 251.5GiB
festive_dirac: CPU: 1516.36%, Memory: 3.029GiB / 251.5GiB
festive_dirac: CPU: 1496.58%, Memory: 3.029GiB / 251.5GiB
festive_dirac: CPU: 1554.52%, Memory: 3.029GiB / 251.5GiB
festive_dirac: CPU: 1509.27%, Memory: 3.03GiB / 251.5GiB
festive_dirac: CPU: 1503.57%, Memory: 3.028GiB / 251.5GiB
festive_dirac: CPU: 1507.51%, Memory: 3.03GiB / 251.5GiB
festive_dirac: CPU: 1559.94%, Memory: 3.03GiB / 251.5GiB
festive_dirac: CPU: 1513.27%, Memory: 3.03GiB / 251.5GiB
festive_dirac: CPU: 1561.04%, Memory: 3.031GiB / 251.5GiB
festive_dirac: CPU: 1500.37%, Memory: 3.032GiB / 251.5GiB
festive_dirac: CPU: 1558.63%, Memory: 3.033GiB / 251.5GiB
festive_dirac: CPU: 1508.27%, Memory: 3.034GiB / 251.5GiB
festive_dirac: CPU: 1204.34%, Memory: 3.04GiB / 251.5GiB
festive_dirac: CPU: 872.78%, Memory: 3.562GiB / 251.5GiB
festive_dirac: CPU: 101.28%, Memory: 4.53GiB / 251.5GiB
festive_dirac: CPU: 1351.96%, Memory: 5.055GiB / 251.5GiB
festive_dirac: CPU: 1498.65%, Memory: 5.055GiB / 251.5GiB
festive_dirac: CPU: 1527.32%, Memory: 5.055GiB / 251.5GiB
festive_dirac: CPU: 1553.38%, Memory: 5.055GiB / 251.5GiB
festive_dirac: CPU: 1534.04%, Memory: 5.055GiB / 251.5GiB
festive_dirac: CPU: 1504.16%, Memory: 5.055GiB / 251.5GiB
festive_dirac: CPU: 1539.87%, Memory: 5.055GiB / 251.5GiB
festive_dirac: CPU: 1522.21%, Memory: 5.055GiB / 251.5GiB
festive_dirac: CPU: 1486.11%, Memory: 5.055GiB / 251.5GiB
festive_dirac: CPU: 1504.29%, Memory: 5.055GiB / 251.5GiB
festive_dirac: CPU: 1558.23%, Memory: 5.055GiB / 251.5GiB
festive_dirac: CPU: 1584.34%, Memory: 5.055GiB / 251.5GiB
festive_dirac: CPU: 1512.95%, Memory: 5.055GiB / 251.5GiB
festive_dirac: CPU: 1510.95%, Memory: 5.055GiB / 251.5GiB
festive_dirac: CPU: 1487.41%, Memory: 5.055GiB / 251.5GiB
festive_dirac: CPU: 1504.61%, Memory: 5.055GiB / 251.5GiB
festive_dirac: CPU: 1500.63%, Memory: 5.055GiB / 251.5GiB
festive_dirac: CPU: 1508.02%, Memory: 5.055GiB / 251.5GiB
festive_dirac: CPU: 1496.33%, Memory: 5.055GiB / 251.5GiB
festive_dirac: CPU: 1501.45%, Memory: 5.055GiB / 251.5GiB
festive_dirac: CPU: 1497.35%, Memory: 5.055GiB / 251.5GiB
festive_dirac: CPU: 1551.66%, Memory: 3.083GiB / 251.5GiB
festive_dirac: CPU: 1463.21%, Memory: 2.337GiB / 251.5GiB
festive_dirac: CPU: 1578.32%, Memory: 2.337GiB / 251.5GiB
nifty_cerf: CPU: 99.70%, Memory: 836.8MiB / 251.5GiB
nifty_cerf: CPU: 1570.48%, Memory: 3.021GiB / 251.5GiB
nifty_cerf: CPU: 1524.64%, Memory: 3.021GiB / 251.5GiB
nifty_cerf: CPU: 1527.31%, Memory: 3.024GiB / 251.5GiB
nifty_cerf: CPU: 1530.91%, Memory: 3.021GiB / 251.5GiB
nifty_cerf: CPU: 1502.09%, Memory: 3.022GiB / 251.5GiB
nifty_cerf: CPU: 1506.78%, Memory: 3.023GiB / 251.5GiB
nifty_cerf: CPU: 1523.44%, Memory: 3.023GiB / 251.5GiB
nifty_cerf: CPU: 1527.36%, Memory: 3.025GiB / 251.5GiB
nifty_cerf: CPU: 1512.87%, Memory: 3.023GiB / 251.5GiB
nifty_cerf: CPU: 1504.11%, Memory: 3.022GiB / 251.5GiB
nifty_cerf: CPU: 1564.50%, Memory: 3.024GiB / 251.5GiB
nifty_cerf: CPU: 1504.04%, Memory: 3.023GiB / 251.5GiB
nifty_cerf: CPU: 1559.28%, Memory: 3.024GiB / 251.5GiB
nifty_cerf: CPU: 1502.37%, Memory: 3.023GiB / 251.5GiB
nifty_cerf: CPU: 1506.92%, Memory: 3.023GiB / 251.5GiB
nifty_cerf: CPU: 1497.75%, Memory: 3.025GiB / 251.5GiB
nifty_cerf: CPU: 1549.63%, Memory: 3.025GiB / 251.5GiB
nifty_cerf: CPU: 1530.91%, Memory: 3.026GiB / 251.5GiB
nifty_cerf: CPU: 1577.39%, Memory: 3.025GiB / 251.5GiB
nifty_cerf: CPU: 1545.13%, Memory: 3.026GiB / 251.5GiB
nifty_cerf: CPU: 1522.76%, Memory: 3.024GiB / 251.5GiB
nifty_cerf: CPU: 1515.85%, Memory: 3.026GiB / 251.5GiB
nifty_cerf: CPU: 1505.04%, Memory: 3.026GiB / 251.5GiB
nifty_cerf: CPU: 1497.00%, Memory: 3.025GiB / 251.5GiB
nifty_cerf: CPU: 1550.88%, Memory: 3.027GiB / 251.5GiB
nifty_cerf: CPU: 1503.49%, Memory: 3.025GiB / 251.5GiB
nifty_cerf: CPU: 1498.19%, Memory: 3.027GiB / 251.5GiB
nifty_cerf: CPU: 1491.34%, Memory: 3.025GiB / 251.5GiB
nifty_cerf: CPU: 1498.44%, Memory: 3.026GiB / 251.5GiB
