magical_tu: CPU: 175.80%, Memory: 1.351GiB / 251.5GiB
magical_tu: CPU: 208.59%, Memory: 1.352GiB / 251.5GiB
magical_tu: CPU: 185.48%, Memory: 1.352GiB / 251.5GiB
magical_tu: CPU: 188.27%, Memory: 1.352GiB / 251.5GiB
magical_tu: CPU: 207.67%, Memory: 1.352GiB / 251.5GiB
magical_tu: CPU: 223.11%, Memory: 1.352GiB / 251.5GiB
magical_tu: CPU: 248.11%, Memory: 1.352GiB / 251.5GiB
magical_tu: CPU: 158.22%, Memory: 1.352GiB / 251.5GiB
magical_tu: CPU: 181.92%, Memory: 1.352GiB / 251.5GiB
magical_tu: CPU: 176.45%, Memory: 1.534GiB / 251.5GiB
magical_tu: CPU: 180.37%, Memory: 1.543GiB / 251.5GiB
magical_tu: CPU: 178.08%, Memory: 1.569GiB / 251.5GiB
magical_tu: CPU: 162.23%, Memory: 1.674GiB / 251.5GiB
magical_tu: CPU: 116.58%, Memory: 1.915GiB / 251.5GiB
magical_tu: CPU: 217.52%, Memory: 2.054GiB / 251.5GiB
magical_tu: CPU: 170.84%, Memory: 2.054GiB / 251.5GiB
magical_tu: CPU: 167.49%, Memory: 2.054GiB / 251.5GiB
magical_tu: CPU: 177.06%, Memory: 2.054GiB / 251.5GiB
magical_tu: CPU: 173.44%, Memory: 2.054GiB / 251.5GiB
magical_tu: CPU: 180.21%, Memory: 2.054GiB / 251.5GiB
magical_tu: CPU: 167.17%, Memory: 2.054GiB / 251.5GiB
magical_tu: CPU: 189.47%, Memory: 2.054GiB / 251.5GiB
magical_tu: CPU: 172.26%, Memory: 2.057GiB / 251.5GiB
magical_tu: CPU: 166.27%, Memory: 2.057GiB / 251.5GiB
magical_tu: CPU: 160.64%, Memory: 2.057GiB / 251.5GiB
magical_tu: CPU: 186.21%, Memory: 2.057GiB / 251.5GiB
magical_tu: CPU: 173.71%, Memory: 1.647GiB / 251.5GiB
magical_tu: CPU: 135.46%, Memory: 1017MiB / 251.5GiB
magical_tu: CPU: 167.64%, Memory: 1017MiB / 251.5GiB
magical_tu: CPU: 161.82%, Memory: 634.5MiB / 251.5GiB
magical_tu: CPU: 164.96%, Memory: 5.188MiB / 251.5GiB
brave_chaum: CPU: 146.73%, Memory: 1.323GiB / 251.5GiB
brave_chaum: CPU: 146.06%, Memory: 1.328GiB / 251.5GiB
brave_chaum: CPU: 182.92%, Memory: 1.328GiB / 251.5GiB
brave_chaum: CPU: 230.27%, Memory: 1.328GiB / 251.5GiB
brave_chaum: CPU: 168.60%, Memory: 1.328GiB / 251.5GiB
brave_chaum: CPU: 164.16%, Memory: 1.328GiB / 251.5GiB
brave_chaum: CPU: 161.09%, Memory: 1.328GiB / 251.5GiB
brave_chaum: CPU: 160.67%, Memory: 1.328GiB / 251.5GiB
brave_chaum: CPU: 166.90%, Memory: 1.328GiB / 251.5GiB
brave_chaum: CPU: 152.90%, Memory: 1.328GiB / 251.5GiB
brave_chaum: CPU: 165.22%, Memory: 1.328GiB / 251.5GiB
brave_chaum: CPU: 152.97%, Memory: 1.332GiB / 251.5GiB
