bold_wing: CPU: 99.43%, Memory: 2.988GiB / 251.5GiB
bold_wing: CPU: 100.31%, Memory: 2.988GiB / 251.5GiB
bold_wing: CPU: 100.59%, Memory: 2.988GiB / 251.5GiB
bold_wing: CPU: 100.84%, Memory: 2.988GiB / 251.5GiB
bold_wing: CPU: 100.88%, Memory: 2.988GiB / 251.5GiB
bold_wing: CPU: 99.56%, Memory: 2.988GiB / 251.5GiB
bold_wing: CPU: 100.78%, Memory: 2.988GiB / 251.5GiB
bold_wing: CPU: 100.77%, Memory: 2.988GiB / 251.5GiB
bold_wing: CPU: 100.37%, Memory: 2.988GiB / 251.5GiB
bold_wing: CPU: 100.58%, Memory: 2.988GiB / 251.5GiB
bold_wing: CPU: 100.25%, Memory: 6.681GiB / 251.5GiB
bold_wing: CPU: 1552.09%, Memory: 7.613GiB / 251.5GiB
bold_wing: CPU: 1545.71%, Memory: 7.613GiB / 251.5GiB
bold_wing: CPU: 909.54%, Memory: 7.613GiB / 251.5GiB
bold_wing: CPU: 99.56%, Memory: 6.834GiB / 251.5GiB
bold_wing: CPU: 1553.17%, Memory: 7.627GiB / 251.5GiB
bold_wing: CPU: 1547.11%, Memory: 7.627GiB / 251.5GiB
bold_wing: CPU: 1547.27%, Memory: 7.627GiB / 251.5GiB
bold_wing: CPU: 1544.71%, Memory: 7.633GiB / 251.5GiB
bold_wing: CPU: 1552.61%, Memory: 7.638GiB / 251.5GiB
bold_wing: CPU: 141.78%, Memory: 7.64GiB / 251.5GiB
bold_wing: CPU: 100.82%, Memory: 6.067GiB / 251.5GiB
loving_kapitsa: CPU: 99.95%, Memory: 1.842GiB / 251.5GiB
loving_kapitsa: CPU: 99.50%, Memory: 2.989GiB / 251.5GiB
loving_kapitsa: CPU: 100.02%, Memory: 2.988GiB / 251.5GiB
loving_kapitsa: CPU: 99.38%, Memory: 2.988GiB / 251.5GiB
