goofy_sammet: CPU: 652.10%, Memory: 9.057GiB / 251.5GiB
goofy_sammet: CPU: 802.05%, Memory: 9.12GiB / 251.5GiB
goofy_sammet: CPU: 801.16%, Memory: 9.13GiB / 251.5GiB
goofy_sammet: CPU: 799.79%, Memory: 9.135GiB / 251.5GiB
goofy_sammet: CPU: 799.42%, Memory: 9.139GiB / 251.5GiB
goofy_sammet: CPU: 796.96%, Memory: 9.158GiB / 251.5GiB
goofy_sammet: CPU: 803.40%, Memory: 9.164GiB / 251.5GiB
goofy_sammet: CPU: 800.25%, Memory: 9.148GiB / 251.5GiB
goofy_sammet: CPU: 801.00%, Memory: 9.175GiB / 251.5GiB
goofy_sammet: CPU: 449.03%, Memory: 7.852GiB / 251.5GiB
goofy_sammet: CPU: 557.69%, Memory: 13.9GiB / 251.5GiB
goofy_sammet: CPU: 802.16%, Memory: 13.9GiB / 251.5GiB
goofy_sammet: CPU: 415.39%, Memory: 14.36GiB / 251.5GiB
goofy_sammet: CPU: 100.15%, Memory: 15.31GiB / 251.5GiB
goofy_sammet: CPU: 99.68%, Memory: 15.31GiB / 251.5GiB
goofy_sammet: CPU: 801.63%, Memory: 18.3GiB / 251.5GiB
goofy_sammet: CPU: 801.13%, Memory: 18.3GiB / 251.5GiB
goofy_sammet: CPU: 799.94%, Memory: 18.3GiB / 251.5GiB
goofy_sammet: CPU: 802.59%, Memory: 18.3GiB / 251.5GiB
goofy_sammet: CPU: 797.40%, Memory: 18.3GiB / 251.5GiB
goofy_sammet: CPU: 799.38%, Memory: 18.3GiB / 251.5GiB
goofy_sammet: CPU: 799.47%, Memory: 18.3GiB / 251.5GiB
goofy_sammet: CPU: 801.10%, Memory: 18.3GiB / 251.5GiB
