vibrant_blackburn: CPU: 1531.32%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1357.98%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1512.76%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1492.79%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1493.44%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1490.09%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1498.44%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1473.29%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1494.54%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1517.34%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1522.43%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1437.48%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1493.19%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1508.00%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1489.45%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1490.11%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1427.73%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1436.09%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1508.76%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1490.66%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1504.94%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1481.72%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1507.45%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1418.87%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1493.90%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1507.50%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1463.00%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1455.58%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1493.46%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1468.41%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1484.22%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1394.00%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1388.07%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1471.31%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1497.00%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1462.32%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1420.01%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1361.12%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1473.29%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1443.40%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1411.91%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1515.62%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1429.91%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1422.83%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1476.38%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1454.56%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1524.75%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1423.89%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1494.66%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1374.82%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1425.41%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1343.83%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1412.10%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1412.45%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1452.21%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1263.06%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1375.37%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1328.97%, Memory: 5.976GiB / 251.5GiB
