compassionate_ganguly: CPU: 798.42%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.47%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.08%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.64%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.48%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.04%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 797.97%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.45%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.28%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 803.17%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 802.40%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.87%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 802.67%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 803.31%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 796.95%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 805.43%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.66%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.75%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.47%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.17%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.34%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 798.63%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 796.28%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 802.26%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 695.37%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.74%, Memory: 15.63GiB / 251.5GiB
compassionate_ganguly: CPU: 798.95%, Memory: 18.2GiB / 251.5GiB
compassionate_ganguly: CPU: 797.46%, Memory: 18.2GiB / 251.5GiB
compassionate_ganguly: CPU: 801.12%, Memory: 18.2GiB / 251.5GiB
compassionate_ganguly: CPU: 799.45%, Memory: 18.2GiB / 251.5GiB
compassionate_ganguly: CPU: 801.63%, Memory: 18.2GiB / 251.5GiB
compassionate_ganguly: CPU: 799.46%, Memory: 18.2GiB / 251.5GiB
compassionate_ganguly: CPU: 799.93%, Memory: 18.2GiB / 251.5GiB
compassionate_ganguly: CPU: 802.11%, Memory: 18.2GiB / 251.5GiB
compassionate_ganguly: CPU: 800.92%, Memory: 18.58GiB / 251.5GiB
compassionate_ganguly: CPU: 800.17%, Memory: 21.18GiB / 251.5GiB
compassionate_ganguly: CPU: 799.94%, Memory: 21.18GiB / 251.5GiB
compassionate_ganguly: CPU: 799.46%, Memory: 21.18GiB / 251.5GiB
compassionate_ganguly: CPU: 803.13%, Memory: 21.18GiB / 251.5GiB
compassionate_ganguly: CPU: 803.04%, Memory: 21.18GiB / 251.5GiB
compassionate_ganguly: CPU: 800.63%, Memory: 21.18GiB / 251.5GiB
compassionate_ganguly: CPU: 801.65%, Memory: 21.18GiB / 251.5GiB
compassionate_ganguly: CPU: 798.20%, Memory: 21.18GiB / 251.5GiB
flamboyant_chatelet: CPU: 99.68%, Memory: 4.956GiB / 251.5GiB
flamboyant_chatelet: CPU: 849.18%, Memory: 9.789GiB / 251.5GiB
flamboyant_chatelet: CPU: 480.64%, Memory: 21.73GiB / 251.5GiB
flamboyant_chatelet: CPU: 802.15%, Memory: 24.07GiB / 251.5GiB
flamboyant_chatelet: CPU: 802.15%, Memory: 24.07GiB / 251.5GiB
flamboyant_chatelet: CPU: 801.15%, Memory: 24.08GiB / 251.5GiB
flamboyant_chatelet: CPU: 800.34%, Memory: 24.08GiB / 251.5GiB
flamboyant_chatelet: CPU: 800.17%, Memory: 24.08GiB / 251.5GiB
flamboyant_chatelet: CPU: 800.34%, Memory: 24.08GiB / 251.5GiB
flamboyant_chatelet: CPU: 801.40%, Memory: 24.08GiB / 251.5GiB
flamboyant_chatelet: CPU: 797.94%, Memory: 24.08GiB / 251.5GiB
flamboyant_chatelet: CPU: 794.41%, Memory: 24.08GiB / 251.5GiB
flamboyant_chatelet: CPU: 801.73%, Memory: 24.08GiB / 251.5GiB
flamboyant_chatelet: CPU: 799.21%, Memory: 24.08GiB / 251.5GiB
flamboyant_chatelet: CPU: 800.67%, Memory: 24.08GiB / 251.5GiB
flamboyant_chatelet: CPU: 799.44%, Memory: 24.08GiB / 251.5GiB
flamboyant_chatelet: CPU: 797.46%, Memory: 24.08GiB / 251.5GiB
flamboyant_chatelet: CPU: 798.93%, Memory: 24.08GiB / 251.5GiB
flamboyant_chatelet: CPU: 801.11%, Memory: 24.08GiB / 251.5GiB
flamboyant_chatelet: CPU: 798.89%, Memory: 24.08GiB / 251.5GiB
flamboyant_chatelet: CPU: 797.39%, Memory: 24.08GiB / 251.5GiB
flamboyant_chatelet: CPU: 798.97%, Memory: 24.08GiB / 251.5GiB
flamboyant_chatelet: CPU: 803.13%, Memory: 24.09GiB / 251.5GiB
flamboyant_chatelet: CPU: 797.95%, Memory: 24.09GiB / 251.5GiB
